facility_name,ward,subcounty,county,mfl_code,orgunitid,support_period,programs,mechanism_name,attribution_id
Macalder Sub-District Hospital,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,13745,14719,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Mwingi Nursing Home,Central Ward,Mwingi Central Sub- County,Kitui County,12627,7632,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Zombe Hospital,Zombe/mwitika Ward,Kitui East Sub County,Kitui County,23030,2061822,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Tseikuru Sub-District Hospital,Tseikuru Ward,Mwingi North Sub County,Kitui County,12805,11815,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Jehovah Rapha Clinic,Mayoni Ward,Matungu Sub County,Kakamega County,18825,10581,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Ikuyuni Dispensary,Nzambani Ward,Kitui East Sub County,Kitui County,12082,6432,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kalatine Dispensary,Mumoni Ward,Mwingi North Sub County,Kitui County,16862,8334,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Maseno University Health Centre,North west kisumu Ward,Kisumu West Sub County,Kisumu County,13782,9967,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Emahene Clinic,Kisa central Ward,Khwisero Sub County,Kakamega County,18165,17328,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Matoi Dispensary,Bunyala central Ward,Navakholo Sub County,Kakamega County,17179,1889,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kairungu Dispensary (Kyuso),Kyuso Ward,Mwingi North Sub County,Kitui County,12128,9687,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kasilili Medical Clinic,Mutitu/kaliku Ward,Kitui East Sub County,Kitui County,12209,7161,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Nzikani Community Centre,Nguni Ward,Mwingi Central Sub- County,Kitui County,20298,4429,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Verna Health Centre,East kamagambo Ward,Rongo Sub County,Migori County,14166,2324,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Iraha Dispensary,Nyamosense/Komosoko Ward,Kuria West Sub County,Migori County,13619,7289,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kasarani dispensary,Ikutha Ward,Kitui South Sub County,Kitui County,22209,12489,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Mwathe Dispensary,Athi Ward,Kitui South Sub County,Kitui County,22186,2883,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
St Agnes Clinic,Nyamosense/Komosoko Ward,Kuria West Sub County,Migori County,16260,13385,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kisumo Medical Centre,Central Ward,Mwingi Central Sub- County,Kitui County,23277,2061662,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kibos Sugar Research Dispensary,Kajulu Ward,Kisumu East Sub County,Kisumu County,13689,9914,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Athi Mission Clinic,Athi Ward,Kitui South Sub County,Kitui County,22085,10411,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Lwanda Dispensary,North Kadem Ward,Nyatike Sub County,Migori County,13741,2221,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Mundu Ta Mundu Clinic,Mutitu/kaliku Ward,Kitui East Sub County,Kitui County,12577,7151,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Border Clinic,Bukira east Ward,Kuria West Sub County,Migori County,13512,13386,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Muhuru Health Centre,Muhuru Ward,Nyatike Sub County,Migori County,13833,3106,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
St Monica Mission Hospital,Kajulu Ward,Kisumu East Sub County,Kisumu County,14120,6936,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Mwingi Hospital,Central Ward,Mwingi Central Sub- County,Kitui County,12626,11565,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kolwal Dispensary,South kanyamkago Ward,Uriri Sub County,Migori County,17344,7586,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kanyekini Dispensary,Kyome/thaana Ward,Mwingi West Sub County,Kitui County,16931,3098,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Mama Nursing Home,Oruba Ward,Suna West Sub County,Migori County,20012,1258,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Yumbu Dispensary,Mui Ward,Mwingi Central Sub- County,Kitui County,12857,11552,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Gods Will Medical Clinic,Nyalenda b Ward,Kisumu Central Sub County,Kisumu County,13586,9792,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Mv Patel Medical Clinic,Market Milimani Ward,Kisumu Central Sub County,Kisumu County,13835,13345,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Ngungi Dispensary,Zombe/mwitika Ward,Kitui East Sub County,Kitui County,20429,6409,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kikiini Dispensary,Nguutani Ward,Mwingi West Sub County,Kitui County,16932,3554,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
St. monica Town Clinic,Railways Ward,Kisumu Central Sub County,Kisumu County,20836,12844,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Mung'ung'u Dispensary,Koyonzo Ward,Matungu Sub County,Kakamega County,16042,12178,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Mbondoni Dispensary (Mwingi),Kiomo/kyethani Ward,Mwingi West Sub County,Kitui County,16246,7554,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kochola Dispensary,East kamagambo Ward,Rongo Sub County,Migori County,20134,2322,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Meridian Medical Clinic,Market Milimani Ward,Kisumu Central Sub County,Kisumu County,20957,6413,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Mwihila Mission Hospital,Kisa north Ward,Khwisero Sub County,Kakamega County,16058,17298,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Okana Dispensary,Kobura Ward,Nyando Sub County,Kisumu County,20666,3775,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Twimyua Dispensary,Kyuso Ward,Mwingi North Sub County,Kitui County,12818,1331,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Miambani Health Centre,Miambani Ward,Kitui Central  Sub County,Kitui County,12519,11352,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Tungutu Health Centre,Kyangwithya west Ward,Kitui Central  Sub County,Kitui County,12812,3794,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
GK Prison Dispensary (Migori),Suna central Ward,Suna East Sub County,Migori County,17728,14608,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Tumaini Dice Dispensary,Market Milimani Ward,Kisumu Central Sub County,Kisumu County,20523,9952,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Ngodhe Dispensary,East kamagambo Ward,Rongo Sub County,Migori County,13853,8279,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Ngura Medical Clinic,Nguni Ward,Mwingi Central Sub- County,Kitui County,20297,4398,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Mulutu Mission Dispensary,Kyangwithya west Ward,Kitui Central  Sub County,Kitui County,12569,6569,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Musukini Dispensary,Central Ward,Mwingi Central Sub- County,Kitui County,16247,7556,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Ntimaru Sub County Hospital,Ntimaru west Ward,Kuria East Sub County,Migori County,13858,6608,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Nyabikaye Dispensary,Tagare Ward,Kuria West Sub County,Migori County,13859,7135,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Ojola Health Centre,South west kisumu Ward,Kisumu West Sub County,Kisumu County,13971,9902,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Katolo-Manyatta Dispensary,East kano/wawidhi Ward,Nyando Sub County,Kisumu County,18421,9611,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Kitui Quality Care,Township Ward,Kitui Central  Sub County,Kitui County,12367,7011,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Oruba Nursing and Maternity Home,Oruba Ward,Suna West Sub County,Migori County,13993,7449,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
The Hope Medical Centre-Awasi,Awasi/onjiko Ward,Nyando Sub County,Kisumu County,18415,5124,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Katumbu Dispensary,Chuluni Ward,Kitui East Sub County,Kitui County,12248,6385,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kasongo Dispensary,Miwani Ward,Muhoroni Sub County,Kisumu County,16282,6337,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Ikutha Medical Clinic,Ikutha Ward,Kitui South Sub County,Kitui County,17610,6184,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Nguungani Dispensary,Mumoni Ward,Mwingi North Sub County,Kitui County,12662,8410,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Sooma Dispensary,Kyangwithya west Ward,Kitui Central  Sub County,Kitui County,20420,3604,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Gosebe Dispensary,Gokeharaka/getambwega Ward,Kuria East Sub County,Migori County,20959,13779,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Mwengea Dispensary,Mutomo Ward,Kitui South Sub County,Kitui County,17604,6403,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Nyankore Health Center,Tagare Ward,Kuria West Sub County,Migori County,21101,9980,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Ladopharma Medical Centre,Oruba Ward,Suna West Sub County,Migori County,18898,14718,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Eshinutsa Health Centre,Kisa east Ward,Khwisero Sub County,Kakamega County,16115,17217,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Muangeni Dispensary,Athi Ward,Kitui South Sub County,Kitui County,17816,12011,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Muliluni Dispensary,Kiomo/kyethani Ward,Mwingi West Sub County,Kitui County,16924,7601,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Makaani Dispensary,Miambani Ward,Kitui Central  Sub County,Kitui County,12449,11822,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Itoloni Dispensary,Migwani Ward,Mwingi West Sub County,Kitui County,16934,7345,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kitui Afya Medical,Township Ward,Kitui Central  Sub County,Kitui County,18905,13033,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Siruti Dispensary,West sakwa Ward,Awendo Sub County,Migori County,17051,7762,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Rabuor Sub County Hospital,Kobura Ward,Nyando Sub County,Kisumu County,14020,6673,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Masaria Dispensary,Wasimbete Ward,Suna West Sub County,Migori County,21193,4655,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kuira District Disability Network Kuria - Isebania HTC,Tagare Ward,Kuria West Sub County,Migori County,20094,14026,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Nyakunguru Dispensary,Masogo/nyang'oma Ward,Muhoroni Sub County,Kisumu County,20500,10233,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Bushiri Health Centre,Ingoste-Matiha Ward,Navakholo Sub County,Kakamega County,15833,3636,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Providence Medical Centre,Central Ward,Mwingi Central Sub- County,Kitui County,20263,4931,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Sunga Dispensary,North west kisumu Ward,Kisumu West Sub County,Kisumu County,17175,6940,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Mama Plister Blair Health Centre,Ombeyi Ward,Muhoroni Sub County,Kisumu County,17121,9748,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Dalcoo medical centre,South sakwa Ward,Awendo Sub County,Migori County,20815,9358,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Inyuu Dispensary,Zombe/mwitika Ward,Kitui East Sub County,Kitui County,12091,6478,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Maeta Dispensary,Nyabasi west Ward,Kuria East Sub County,Migori County,22113,3460,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Msomi Complex Medical Clinic,Oruba Ward,Suna West Sub County,Migori County,18055,11698,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Mulango (AIC) Health Centre,Mulango Ward,Kitui Central  Sub County,Kitui County,12566,12475,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Osogo Dispensary,West Kanyamkago Ward,Uriri Sub County,Migori County,13997,7587,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Olps Clinic,Kolwa central Ward,Kisumu East Sub County,Kisumu County,13977,6487,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
St.Lydia Okore Dispensary,Railways Ward,Kisumu Central Sub County,Kisumu County,21706,14407,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Kehancha Clinic,Bukira east Ward,Kuria West Sub County,Migori County,13664,12586,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Nyikendo Medical Clinic,Suna central Ward,Suna East Sub County,Migori County,18052,7490,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kowino Dispensary,Nyalenda A Ward,Kisumu East Sub County,Kisumu County,13722,2741,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Komwaga Health Center,Kabonyo kanyagwal,Nyando Sub County,Kisumu County,21310,5335,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Migori County Referal Hospital,Suna central Ward,Suna East Sub County,Migori County,13805,2498,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
God Kwer Dispensary,Wiga Ward,Suna West Sub County,Migori County,13583,12382,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
GK Prisons Dispensary (Kibos),Kolwa East Ward,Kisumu East Sub County,Kisumu County,13579,6269,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Mundobelwa Health Centre,Kisa north Ward,Khwisero Sub County,Kakamega County,20516,17262,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Nyamage Dispensary,West Kanyamkago Ward,Uriri Sub County,Migori County,22348,292586,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Anjego Dispensary,Kakrao Ward,Suna East Sub County,Migori County,13480,14795,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Mainga Health Centre,West Kisumu Ward,Kisumu West Sub County,Kisumu County,21208,4208,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
St Akidiva Memorial Hospital,Oruba Ward,Suna West Sub County,Migori County,14101,5206,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Giribe Dispensary,Wasimbete Ward,Suna West Sub County,Migori County,13576,2720,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Rehoboth Maternity Nursing Home,Nuu Ward,Mwingi Central Sub- County,Kitui County,20278,9542,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Enziu Dispensary,Waita Ward,Mwingi Central Sub- County,Kitui County,12011,12282,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Komotobo Mission Health Centre,Nyabasi west Ward,Kuria East Sub County,Migori County,13717,3037,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kitui District Hospital,Township Ward,Kitui Central  Sub County,Kitui County,12366,5262,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Nuu Hospital,Nuu Ward,Mwingi Central Sub- County,Kitui County,12681,9462,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kwa Kavoo Dispensary,Migwani Ward,Mwingi West Sub County,Kitui County,16933,7358,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kikuu Dispensary,Zombe/mwitika Ward,Kitui East Sub County,Kitui County,18683,10449,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kitundu Dispensary,Mulango Ward,Kitui Central  Sub County,Kitui County,19145,4559,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Winjo Dispensary,Muhuru Ward,Nyatike Sub County,Migori County,14173,2286,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Angaga Dispensary,South sakwa Ward,Awendo Sub County,Migori County,17050,5240,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Mutitu Sub-District Hospital,Mutitu/kaliku Ward,Kitui East Sub County,Kitui County,12601,4010,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Mutune Dispensary,Kyangwithya east Ward,Kitui Central  Sub County,Kitui County,12609,6669,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Imc Tekeleza Dice - Isebania,Isibania Ward,Kuria West Sub County,Migori County,20019,13384,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kuria District Hospital,Bukira east Ward,Kuria West Sub County,Migori County,13726,14088,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Gairoro Dispensary,Ntimaru west Ward,Kuria East Sub County,Migori County,13556,14029,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Angogo dispensary,North sakwa Ward,Awendo Sub County,Migori County,22975,2061855,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Mutukya Dispensary,Miambani Ward,Kitui Central  Sub County,Kitui County,12607,12557,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Impact Research-Tuungane (Nyando),Ahero Ward,Nyando Sub County,Kisumu County,18456,9703,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Makongo Dispensary,Zombe/mwitika Ward,Kitui East Sub County,Kitui County,18681,12432,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kyamatu Dispensary,Voo/kyamatu Ward,Kitui East Sub County,Kitui County,12403,1359,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Museve Dispensary,Kyangwithya east Ward,Kitui Central  Sub County,Kitui County,12583,3795,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Marie Stopes Clinic (Migori),Oruba Ward,Suna West Sub County,Migori County,13775,3084,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
LIZA MEDICAL CLINIC,South sakwa Ward,Awendo Sub County,Migori County,21707,2350,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Buchangu Dispensary,Bunyala central Ward,Navakholo Sub County,Kakamega County,15810,2447,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Ogongo Community Dispensary,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,20960,2274,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Walmer Eye Clinic,Kisa central Ward,Khwisero Sub County,Kakamega County,18164,17175,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Nightingale Medical Centre,Kondele Ward,Kisumu Central Sub County,Kisumu County,13856,9844,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Kairungu Dispensary (Mwingi),Kiomo/kyethani Ward,Mwingi West Sub County,Kitui County,12129,7725,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Rota Health Centre,South west kisumu Ward,Kisumu West Sub County,Kisumu County,14060,12665,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Eshibinga Health Centre,Kisa east Ward,Khwisero Sub County,Kakamega County,21788,17287,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Zombe Medical Clinic,Zombe/mwitika Ward,Kitui East Sub County,Kitui County,20313,3812,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
LVCT DICE Clinic Muhuru,Muhuru Ward,Nyatike Sub County,Migori County,19930,3141,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kandege Health Center,Muhoroni koru Ward,Muhoroni Sub County,Kisumu County,13652,14438,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Manyoeni Dispensary,Mutitu/kaliku Ward,Kitui East Sub County,Kitui County,18679,3054,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
ACK Nguni CBHC Annex Clinic,Nguni Ward,Mwingi Central Sub- County,Kitui County,22609,2062055,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Waita Health Centre,Waita Ward,Mwingi Central Sub- County,Kitui County,12839,12799,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kamandio Dispensary,Miambani Ward,Kitui Central  Sub County,Kitui County,12160,7276,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Munyanza Nursing Home,Kisa central Ward,Khwisero Sub County,Kakamega County,16045,17203,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Orongo Dispensary,Kolwa East Ward,Kisumu East Sub County,Kisumu County,21047,9466,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Munyuni  Dispensary,Mutitu/kaliku Ward,Kitui East Sub County,Kitui County,20898,2926,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Mirere Health Centre,Namamali Ward,Matungu Sub County,Kakamega County,17931,10664,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Migere Dispensary,Masogo/nyang'oma Ward,Muhoroni Sub County,Kisumu County,21487,6417,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Ikomero Health Centre,Kisa west Ward,Khwisero Sub County,Kakamega County,19900,10705,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Polycare Medical Centre,Nguutani Ward,Mwingi West Sub County,Kitui County,23293,2061733,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
ACK Mwingi CBHC,Central Ward,Mwingi Central Sub- County,Kitui County,19651,8385,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kombato Dispensary,Macalder/kanyarwanda Ward,Nyatike Sub County,Migori County,16270,7591,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Tyaa Kamuthale Health Centre,Mumoni Ward,Mwingi North Sub County,Kitui County,12819,5799,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Khumusalaba Clinic,Kisa central Ward,Khwisero Sub County,Kakamega County,15938,16963,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Tuungane Centre Rongo,Central Kamagambo Ward,Rongo Sub County,Migori County,18502,2316,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Mumoni Nursing Home,Mumoni Ward,Mwingi North Sub County,Kitui County,21120,5312,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Nyangore Dispensary,Chemelil Ward,Muhoroni Sub County,Kisumu County,20501,6448,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Sigoti Health Centre,South east nyakach Ward,Nyakach Sub County,Kisumu County,14086,9337,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Ulanda Dispensary,South sakwa Ward,Awendo Sub County,Migori County,14157,11541,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kochieng Health Centre,Kobura Ward,Nyando Sub County,Kisumu County,21671,13059,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Nyakuru Dispensary,North sakwa Ward,Awendo Sub County,Migori County,13885,8027,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Eshiabwali Health Centre,Kisa east Ward,Khwisero Sub County,Kakamega County,19899,17014,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Isibania Mission Health Centre,Nyamosense/Komosoko Ward,Kuria West Sub County,Migori County,13624,3062,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Umbrella Health Clinic,Kobura Ward,Nyando Sub County,Kisumu County,20398,7054,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Bondo Dispensary,Waseweta ii Ward,Suna West Sub County,Migori County,21191,4365,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Nehemiah International Dispensary,Miwani Ward,Muhoroni Sub County,Kisumu County,18338,6421,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Uriri Health Centre,Central kanyamkago Ward,Uriri Sub County,Migori County,14161,3858,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Nyaani Dispensary,Nuu Ward,Mwingi Central Sub- County,Kitui County,12682,4889,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Imc Tekelza Dice Clinic -Migori,Suna central Ward,Suna East Sub County,Migori County,18897,2578,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Holo Dispensary,Awasi/onjiko Ward,Nyando Sub County,Kisumu County,17118,11902,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Malalani Health Center,Endau/malalani Ward,Kitui East Sub County,Kitui County,12459,7204,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Mukuthu Dispensary,Kiomo/kyethani Ward,Mwingi West Sub County,Kitui County,22910,2061934,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Nyamagongwi Dispensary,Nyabasi east Ward,Kuria East Sub County,Migori County,22110,3409,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Dede Dispensary,West sakwa Ward,Awendo Sub County,Migori County,13532,5164,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Mulinde Dispensary,Nguni Ward,Mwingi Central Sub- County,Kitui County,16936,10307,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
