facility_name,mfl_code,orgunitid,support_period,programs,mechanism_name,attribution_id
Malalani Health Center,12459,7204,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kithuki Health Centre,12360,2012,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Ngakaa dispensary,20800,8784,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mundu Ta Mundu Clinic,12577,7151,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kilala Health Centre,12309,6254,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Faith Medical Centre,17453,7608,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
St Joseph Kavisuni Health Centre,16995,10534,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Yoonye Dispensary,18677,5293,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Thitha Dispensary,12798,11594,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Winzyeei Health Centre,12849,13479,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Katulye Dispensary-Nzaui,17433,2065,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kavuvwani Dispensary,12264,7548,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mtito Andei Sub County Hospital,12547,6097,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Eunik Highway Medical Clinic,18134,12757,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kasilili Medical Clinic,12209,7161,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mumbuni Nursing Home,12574,4576,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mwingi Hospital,12626,11565,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kamuthini Dispensary,18760,1902,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kavuthu Health Centre,12263,13129,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mbuvo Health Centre,20271,11004,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Muyuni Dispensary,12617,7472,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Nziu Health Centre,12693,2401,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Chuluni Health Centre,11974,6483,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Muamba Dispensary,17603,13380,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kikumini Health Centre,12308,5694,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mutulani Dispensary,18008,3551,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mwania (chandaria) Dispensary,12621,11067,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kimweli Dispensary,17605,12384,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Sikh Temple Hospital,12734,13146,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Ponya Medical Clinic,18143,4342,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mutitu Sub-District Hospital,12601,4010,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Muthungue Dispensary,18673,6358,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Yumbu Dispensary,12857,11552,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Makueni Medical Centre,18139,3975,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kavete Dispensary,19977,9489,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mathanguni Dispensary,20787,2553,2017Q4,"FPRH,MCH,Nutrition",APHIAplus Central – Eastern,290961
Mathanguni Dispensary,20787,2553,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Matinyani Health Centre,12486,6846,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mwasang'ombe Dispensary,21914,293248,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kathulumbi Dispensary,12238,6297,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mutomo Hospital,12603,6381,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mercy Clinic (Ikutha),12511,6186,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Yongela Dispensary,12856,11384,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mukong'a Dispensary,16863,12622,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kasikeu Dispensary,12208,11386,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kathyaka Dispensary,12240,6159,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kanyekini Dispensary,16931,3098,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Muono Dispensary,12578,8766,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kyaango Dispensary,17939,3406,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kasevi Dispensary,16928,13473,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Masongaleni Health Centre,12477,2232,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Nzeluni Health Centre,12691,7391,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kavumbu Dispensary,12261,2952,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kathonzweni Health Centre,12236,12539,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kyumbe (AIC) Dispensary,12419,2066,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mui Dispensary,12556,6977,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mathyakani Dispensary,16927,12593,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kalawa Model Health Centre,12147,1859,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kyoani Dispensary,12416,12399,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Makongoni Dispensary,19107,11274,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kilulu Dispensary,16926,7349,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mbondoni Dispensary (Mwingi),16246,7554,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kairungu Dispensary (Kyuso),12128,9687,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Matutu Dispensary (Nzaui),17551,4563,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kisayani Dispensary,20792,293251,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kalanga Dispensary,16654,9838,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Matiliku Sub County Hospital,12485,10954,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kawala Dispensary,20888,9564,2017Q4,"FPRH,MCH,Nutrition",APHIAplus Central – Eastern,290961
Kawala Dispensary,20888,9564,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kithyululu Heath Centre,12364,6092,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Twimyua Dispensary,12818,1331,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kisayani Health Centre,12342,12716,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Makindu Centre of Hope,,6594,2017Q4,"FPRH,MCH,Nutrition",APHIAplus Central – Eastern,290961
Kamuwongo Health Centre,12169,8197,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Fame Outreach Rescue Clinic,21269,5043,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Makindu Sub County Hospital,12455,1992,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Konyu Dispensary,12383,1299,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kandwia Dispensary,16860,3191,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mavivye Model Health Centre,17256,10088,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Curran Dispensary,11980,8150,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Ikutha  Tier iv Hospital,12080,12383,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Family Nursing home and Maternity ( Mwingi Central),18568,7609,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Nzeeni Dispensary,20786,1511,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Masumba Dispensary,12478,6209,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kiseuni Dispensary,12345,14478,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mavindini Health Centre,12493,12424,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mwingi Medicare Centre,17055,7636,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Musukini Dispensary,16247,7556,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mumoni Dispensary,12576,3252,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Musavani Dispensary,20042,9618,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Makongoni Dispensary,19107,11274,2017Q4,"FPRH,MCH,Nutrition",APHIAplus Central – Eastern,290961
Kakungu Dispensary,12138,6535,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Ndatani Dispensary,12636,12560,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kaunguni Dispensary,18316,10393,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kilili Health Centre,12312,4061,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Ngongoni Dispensary (Mwingi),12655,3626,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mataka Dispensary,12480,3772,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kiu (AIC) Dispensary,12374,2072,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mwambiu Dispensary,12619,3081,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Migwani Sub-District Hospital,12523,7367,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kalisasi Dispensary,12154,7578,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Emali Model Health Centre,18260,6179,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mephibosheth Medical Clinic,20566,3219,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Ikanga Sub-District Hospital,12077,7186,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kakutha Dispensary,17268,12632,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Itoloni Dispensary,16934,7345,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mulangoni Dispensary,12567,9317,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mutwangombe Dispensary,19933,5196,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kikuu Dispensary,18683,10449,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kiaoni Dispensary (Kibwezi),12281,6180,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Zombe Medical Clinic,20313,3812,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kanyangi  Hospital,12184,6243,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Emali Nursing Home,12002,7320,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Nguungani Dispensary,12662,8410,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kilawani Medical Clinic,12310,7166,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Katumbu Dispensary,12248,6385,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Muliluni Dispensary,16924,7601,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kyuso District Hospital,12420,5642,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kee Health Centre,16960,6271,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kilisa Dispensary,18004,3940,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Yaathi Dispensary,17598,5743,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
GK Prison Dispensary-Makueni,20722,4306,2017Q4,"FPRH,MCH,Nutrition",APHIAplus Central – Eastern,290961
Kinakoni Dispensary,12320,4011,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kilawa Dispensary,16648,12010,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
GK Prison Dispensary-Makueni,20722,4306,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Athi Kamunyuni Health Centre,11934,10471,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Yaathi Dispensary,17598,5743,2017Q4,"FPRH,MCH,Nutrition",APHIAplus Central – Eastern,290961
Kitui Nursing Home,18461,5233,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kitui Nursing Home,18461,5233,2017Q4,"FPRH,MCH,Nutrition",APHIAplus Central – Eastern,290961
Mathuki Health Centre,12483,3069,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kwale Dispensary,12399,2108,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kyuasini Health Centre,16254,6272,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Ekani Dispenasry,17600,11401,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mbenuu H Centre,12499,2371,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kamusiliu Dispensary,12165,8459,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Monguni Dispensary,17601,13446,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Nuu Hospital,12681,9462,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Ikuyuni Dispensary,12082,6432,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kavuta Dispensary,12262,6380,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Faith Nursing Home (Ikutha),12013,10525,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Ikutha Medical Clinic,17610,6184,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mukuyuni Health Centre,12565,3261,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
University of Nairobi-MARPS Project- Mwingi,20203,4930,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Wingemi Health Centre,12848,3435,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mt Zion Community Health Clinic,17269,2235,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Itumbule Dispensary-(Makueni Sub county),,3262,2017Q4,"FPRH,MCH,Nutrition",APHIAplus Central – Eastern,290961
Nduu Ndune Dispensary,17814,2351,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kakululo Dispensary,12137,3070,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kanyunga Health Centre,12186,7416,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Itheng'eli Dispensary,16653,11507,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mwengea Dispensary,17604,6403,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kalii Dispensary,16643,1811,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Muangeni Dispensary,17816,12011,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Wumiisyo Medical Clinic,18203,3785,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Vololo Dispensary,17442,7297,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Rehoboth Maternity Nursing Home,20278,9542,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kasaala Health Centre,12204,12036,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kambu Model Health Centre,18596,1788,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kasyala Health Centre,12211,11821,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Tharaka Health Centre,12794,11816,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Miambani Health Centre,12519,11352,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kitonyoni Dispensary,16253,10931,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Itumbule Dispensary-(Makueni Sub county),,3262,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kalulini Health centre,12156,1847,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kyome (AIC) Dispensary,12417,7402,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mulatya Memorial Hospital,19320,1984,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mumbuni Dispensary (Mwingi),12573,7485,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Enziu Dispensary,12011,12282,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kaliani Dispensary,20579,2238,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Tutini Dispensary,18809,4545,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mbitini Health Centre,12521,6333,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kwamutula (Kaliini) Dispensary,20982,1588,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kwamutula (Kaliini) Dispensary,20982,1588,2017Q4,"FPRH,MCH,Nutrition",APHIAplus Central – Eastern,290961
Mbooni (AIC) Dispensary,12507,13481,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kea Dispensary,12268,7294,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Muusini Dispensary (Kathonzweni),18413,10971,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Katse Health Centre,12242,2865,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kalitini Dispensary,12155,7543,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mivukoni Health Centre,12539,1307,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mumbuni Health Centre (Makueni),12571,13106,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
AIC Kalamba Dispensary,17431,10396,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Tii Dispensary,12800,12414,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Ngomeni Health Centre,12654,8391,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Miangeni Dispensary (Kathonzweni),16972,4216,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Nguuku Dispensary,12661,8480,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Masyungwa Health Centre,12479,2915,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Rehoboth Maternity Nursing Home(Mwingi North),12243,4015,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
North Star Alliance Clinic,17511,6321,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kyamatu Dispensary,12403,1359,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
kasemeini dispensary,20793,4990,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Ngelani Dispensary,18686,3750,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
kasemeini dispensary,20793,4990,2017Q4,"FPRH,MCH,Nutrition",APHIAplus Central – Eastern,290961
Manza Dispensary,20269,4232,2017Q4,"FPRH,MCH,Nutrition",APHIAplus Central – Eastern,290961
Maai Dispensary,12436,7353,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Muthue Dispenary,17606,13364,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Tei Wa Yesu Health Centre,12789,11645,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Katyethoka Health Centre,12251,6382,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Blueturtle Dispensary,17609,12568,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kwakavisi Dispensary,12398,2063,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kairungu Dispensary (Mwingi),12129,7725,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mutomo Medical Services,20341,2311,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Waita Health Centre,12839,12799,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kisau Sub County Hospital,12341,2146,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mweini Dispensary,12623,2335,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kwakalui Dispensary,20214,2470,2017Q4,"FPRH,MCH,Nutrition",APHIAplus Central – Eastern,290961
Kwakalui Dispensary,20214,2470,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Itongolani Dispensary,12099,7742,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kalima Dispensary,18811,9342,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Maau-eli Dispensary,20785,2552,2017Q4,"FPRH,MCH,Nutrition",APHIAplus Central – Eastern,290961
Ilengi Dispensary,12084,12431,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Maau-eli Dispensary,20785,2552,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mavui Dispensary,12495,7603,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mulinde Dispensary,16936,10307,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
ACK Mwingi CBHC,19651,8385,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
kitende dispensary,,6838,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Makongeni Dispensary,18432,4544,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiane Medical & Eye Clinic,10554,7645,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kwale District Hospital,11507,8969,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Rusinga Dispensary,14062,1232,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
North Kinangop Catholic Hospital,10887,4153,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kigumo Sub County Hospital (Muranga South),10588,5137,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kaanwa Dispensary,12119,3330,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Randung' Dispensary,14031,8383,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mbiuni VCT,12504,7082,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Tiwi RHTC,11853,14623,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Sigowet Sub-District Hospital,15568,8989,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Baragoi Sub-District Hospital,14228,13421,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Tunyai Dispensary,12813,11442,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ikombe Disp,12078,2266,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kieni Kia Ndege Dispensary,12296,11869,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiini Health Centre,12301,11615,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Wundanyi Sub-District Hospital,11908,9372,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Simaho Clinic,13441,4926,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nyamasege Health Centre,13901,3162,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
James Clinic and Lab Services,10367,12613,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kasigau Rdch,11455,9153,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
GK Prison Dispensary (Embu),12045,9478,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kihoya Dispensary,10594,8393,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Njukini Health Centre,11718,9220,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kimong Dispensary,14878,12191,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nazareth Hospital (Ruiru),17490,4418,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mata Dispensary (Taveta),11577,4164,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiambu Institute of Science and Technology Dispensary,10540,4662,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kapkatet District Hospital,14706,4818,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Sipili Health Centre,15589,10629,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
12 Engineers,17486,4894,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
