facility_name,mfl_code,support_period,programs,mechanism_name,attribution_id
Kyoani Dispensary,12416,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mwambiu Dispensary,12619,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Voo Health Cetre,12836,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Matutu Dispensary (Nzaui),17551,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mataka Dispensary,12480,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mumbuni Health Centre (Makueni),12571,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Ngongoni Dispensary (Mwingi),12655,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kaunguni Dispensary,18316,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Chuluni Dispensary,11974,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Nzangathi Dispensary,16992,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kalanga Dispensary,16654,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Nyaani Dispensary,12682,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kisayani Health Centre,12342,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Nuu Sub-District Hospital,12681,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Musavani Dispensary,20042,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kamuwongo Dispensary,12169,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Fame Outreach Rescue Clinic,21269,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Malalani Dispensary,12459,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mavindini Health Centre,12493,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
AIC Kalamba Dispensary,17431,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Rehoboth Maternity Nursing Home,20278,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Muvuko Dispensary,17779,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kiseuni Dispensary,12345,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Yoonye Dispensary,18677,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Curran Dispensary,11980,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mavivye Model Health Centre,17256,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mutyangome Dispensary,12611,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mulinde Dispensary,16936,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Miangeni Dispensary (Kathonzweni),16972,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Jordan Hospital,12110,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Ngongoni Dispensary (Kyuso),16864,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Wanzoa Dispensary,12842,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kalima Dispensary,18811,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kalii Dispensary,16643,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Yatwa Dispensary,12854,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Karura Dispensary,16939,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Blueturtle Dispensary,17609,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Thaana Nzau Dispensary,12792,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Katakani Dispensary,12213,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kasikeu Dispensary,12208,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kanziku Health Centre,12190,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Ngomeni Health Centre,12654,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mutomo Health Centre,12603,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Muamba Dispensary,17603,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kamuthini Dispensary,18760,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Yanzuu Health Centre,12852,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kiangini Dispensary,12276,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Wumiisyo Medical Clinic,18203,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kithuki Health Centre,12360,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mt Zion Community Health Clinic,17269,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Faith Medical Centre,17453,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Tulimani Dispensary,12808,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Miambani Health Centre,12519,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Ikuyuni Dispensary,12082,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Thitha Dispensary,12798,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kavuvwani Dispensary,12264,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Nguni Health Centre,12658,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mukuyuni Health Centre,12565,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Yimwaa Dispensary,12855,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mbitini Health Centre,12521,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Administration Police Senior Staff College Dispensary,18171,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Eunik Highway Medical Clinic,18134,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Yikivumbu Dispensary,17550,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kilome Nursing Home,12313,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kairungu Dispensary (Kyuso),12128,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kithituni Health Care Clinic,17445,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Iiani Dispensary,12072,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Nguuku Dispensary,12661,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kalatine Dispensary,16862,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kako Dispensary,12135,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mutyambua Dispensary,12610,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mtito Andei Sub County Hospital,12547,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kambimawe Dispensary,16962,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Tseikuru Sub-District Hospital,12805,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Tyaa Kamuthale Dispensary,12819,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kavuthu Health Centre,12263,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kyuso District Hospital,12420,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kasunguni Dispensary,12210,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kiboko Dispensary (Makindu),12286,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Muyuni Dispensary,12617,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kasilili Medical Clinic,12209,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kimweli Dispensary,17605,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mwanyani Dispensary,12622,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Tii Dispensary,12800,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Sikh Temple Hospital,12734,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kavumbu Dispensary,12261,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Makindu Nursing Home,19320,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
ACK Mwingi CBHC,19651,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kyethani Health Centre,12414,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Makueni County Referral Hospital,12457,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mweini Dispensary,12623,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kanyekini Dispensary,16931,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mbooni (AIC) Dispensary,12507,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Masyungwa Health Centre,12479,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Ukasi Model Health Centre,18090,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kalawa Model Health Centre,12147,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mwengea Dispensary,17604,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Waita Health Centre,12839,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mercy Clinic (Ikutha),12511,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Yekanga Dispensary,16963,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Ponya Surgicals Nursing Home,18140,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mathunzini Dispensary,16656,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Matiliku Sub County Hospital,12485,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Katulye Dispensary-Nzaui,17433,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Lundi Dispensary,12435,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Masumba Dispensary,12478,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kilili Health Centre,12312,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Tharaka Health Centre,12794,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Muangeni Dispensary,17816,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Enziu Dispensary,12011,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Nduu Ndune Dispensary,17814,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kyatune Health Centre,12410,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Family Nursing home and Maternity ( Mwingi Central),18568,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Thonzweni Dispensary,16859,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Nzawa Health Centre,12690,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kwa Mutonga Dispenasry,12394,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mfariji Medical Clinic,19303,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Mephibosheth Medical Clinic,20566,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Ikanga Sub-District Hospital,12077,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Syumile Dispensary,12782,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Inyuu Dispensary,12091,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kamboo Dispensary,17290,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Nzatani Dispensary (Mwingi),12689,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Athi Kamunyuni Dispensary,11934,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Kwakavisi Dispensary,12398,2017Q3,"FPRH, MCH, Nutrition",APHIAplus Central – Eastern,290961
Embu-Mbeere Hospice,17164,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Makengi Clinic,12452,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kinna Health Centre,12323,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Murang'a District Hospital,10777,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Bomachoge Borabu  Sub County Refferal Hospital,13673,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Gachika Orthodox Medical Clinic,10196,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Gatimbi Health Centre,12031,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Oriang (SDA) Health Centre,16284,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Faza Hospital,11373,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nduru District Hospital,13847,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Elburgon Sub-District Hospital,14431,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Huruma Maternity Hospital,12975,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Laisamis Catholic Hospital,16215,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kongoni Dispensary,14986,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Lussigetti Sub-county Hospital,10666,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Latakweny Dispensary,15014,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Merigi Dispensary,15178,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Sololo Mision Hospital,12739,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Consolata Kyeni Hospital,12413,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Othaya Sub-District Hospital,10922,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Uthiru Health Centre,11141,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mahandakini Dispensary,18187,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Gobei Health Centre,13581,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nyango Dispensary,17646,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Makongeni Dispensary,18432,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Consolata Mission Hospital (Mathari),10100,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
NYS Dispensary (Kilindini),11723,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Marani District Hospital,13772,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mokason Clinic,13819,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kitengela Sub-County Hospital,14950,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Egetonto Dispensary (Gucha),13538,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Bitare Dispensary,13502,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
NYS Karate Dispensary,15380,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Miritini (MCM) Dispensary,17822,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Garsen Health Centre,11385,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiandutu Health Centre,16814,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Oll Mwea Hospital Clinic Embu (Satelite),12696,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Sachang'wan Health Centre,15509,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Gesuguri Dispensary,13560,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Heshima Clinic,10313,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Makongeni Health Centre,19858,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Athi River Health Centre,11936,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiang'ombe Dispensary,10555,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Karatina District Hospital,10485,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Flamingo Medical Centre,14551,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Miniambo Dispensary,16766,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Seka Health Centre,14074,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiptere Dispensary,14928,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
St Alice (EDARP) Dandora Clinic,18219,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Marti Dispensary,15144,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Immaculate Medical Clinic,10350,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mnyenzeni Dispensary,11638,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Suba District Hospital,14130,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
St Patrick Kanamkemer Dispensary,15662,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Okiki Amayo Health Centre,13972,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kichwa Tembo Dispensary,14859,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Sigor Sub-District Hospital,15565,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Chemase Health Centre,14315,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Olokyin Health Centre,15421,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Bomu Medical Hospital (Changamwe),11258,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kapkures Dispensary (Nakuru Central),14733,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiangai Health Centre,10556,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ithe-Kahuno Medical Clinic,10359,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Likoni District Hospital,11522,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Likoni Catholic Dispensary,11520,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Leshau Pondo Health Centre,10657,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kihara Sub-County  Hospital,10591,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Liberty Medical Clinic,18048,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Lea Toto Kibera,13048,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Hindi Magogoni Dispensary,11409,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nyang'oma Mission Health Centre,13929,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Pepo La Tumaini Dispensary,12701,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Medina Health Centre,13408,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Arroket Dispensary,14215,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiembeni Community Hospital,11468,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ngiito Dispensary,15348,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Marungu Health Centre,11572,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kapsabet County Referral Hospital,14749,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Oyamo Dispensary,14007,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kianyaga Catholic Health Centre,10564,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Wagwe Health Centre,14168,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Vanga Health Centre,11879,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kambajo Dispensary,13651,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Tinganga (PCEA) Dispensary,11107,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ngorano Health Centre,10870,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Rariw Dispensary,14038,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ndavaya Dispensary,11701,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nyawita Dispensary,19864,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mirangine Health Centre,10732,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Tom Mboya Memorial Health Centre,14150,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Elwak District Hospital,13335,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Cheborgei Health Centre,14300,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Bahati District Hospital,14224,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kapkangani Health Centre,14704,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Magenche Health Centre,13749,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Molo District Hospital,15212,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
DOD MRS Dispensary,12918,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kivaani Health Centre,12376,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Jfk Engineering Dispensary,14596,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Waware Dispensary,14171,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kobuya Dispensary,13708,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Loitokitok Sub-County Hospital,15051,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kaplong Medical Clinic,14742,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Live With Hope,17589,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Muriranjas Sub-District Hospital,10782,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Karuturi Hospital,15559,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mai Mahiu Health Centre,15108,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kirogo Health Centre,10636,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ruiru Sub-County  Hospital,10973,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Neema Hospital (Ruiru),18061,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nyahururu District Hospital,10890,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Naikarra Dispensary,15276,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Family Healthoptions Kenya (Nakuru),14177,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nyacheki Sub County Hospital,13867,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kirwara Sub District,10639,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Miriu Health Centre,13812,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mbuta Model Health Centre,11592,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kabare Health Centre,10388,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Tinganga Catholic Dispensary,17094,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Limuru Health Centre,10661,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ndindika Health Centre,15325,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Langa Langa Health Centre,15009,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
St Luke's (ACK) Hospital Kaloleni,11818,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Provide Medical Clinic,18059,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Makutano Health Centre (Turkana West),15117,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mission K Clinic,11622,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nyenye Misori Dispensary,13948,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
The Karen Hospital,13004,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ndovu Health Centre,11705,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Got Agulu Sub-District Hospital,13588,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Winjo Dispensary,14173,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiamutugu Clinic,10544,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Gilgil Sub-County Hospital,14510,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
St Theresas Riiji Health Centre,12775,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiritiri Health Centre,16466,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Adiedo Dispensary,13463,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kibwari Tea Dispensary,14858,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Chebunyo Dispensary,14304,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kajiado (AIC) Dispensary,14650,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiasa Dispensary,13686,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nyeri Provincial General Hospital (PGH),10903,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kilgoris Medical Centre,14865,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mata Dispensary (Taveta),11577,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
James Clinic and Lab Services,10367,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nyamasege Dispensary,13901,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Wundanyi Sub-District Hospital,11908,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiini Health Centre,12301,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
