no,facility,ward,subcounty,county,mfl_code,orgunitid,support_period,programs,mechanism_name,attribution_id
571,Ladopharma Medical Center,Bukira east Ward,Kuria West Sub County,Migori County,20228,12308,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
572,Robarisia Dispensary,Bukira central/ikerege Ward,Kuria West Sub County,Migori County,21424,9000,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
573,Nyabokarange Dispensary,Bukira central/ikerege Ward,Kuria West Sub County,Migori County,13862,14195,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
574,Komomange Dispensary,Bukira central/ikerege Ward,Kuria West Sub County,Migori County,13715,13907,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
575,Nyaroha Dispensary,Nyabasi west Ward,Kuria East Sub County,Migori County,22121,3494,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
576,Nyaitara Dispensary,Nyabasi west Ward,Kuria East Sub County,Migori County,16666,7238,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
577,Mother Solbritt Health Centre,Nyabasi west Ward,Kuria East Sub County,Migori County,21467,5177,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
578,Maeta Dispensary,Nyabasi west Ward,Kuria East Sub County,Migori County,22113,3460,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
579,Komotobo Mission Health Centre,Nyabasi west Ward,Kuria East Sub County,Migori County,13717,3037,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
580,Kemakoba Dispensary,Nyabasi west Ward,Kuria East Sub County,Migori County,20247,6803,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
581,Kebaroti Dispensary,Nyabasi west Ward,Kuria East Sub County,Migori County,13659,12377,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
582,Chinato Health Centre,Nyabasi west Ward,Kuria East Sub County,Migori County,13526,4808,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
583,Nyamagongwi Dispensary,Nyabasi east Ward,Kuria East Sub County,Migori County,22110,3409,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
584,Kugitimo Health Centre,Nyabasi east Ward,Kuria East Sub County,Migori County,13723,7156,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
585,Kegonga Sub County Hospital,Nyabasi east Ward,Kuria East Sub County,Migori County,13663,7093,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
586,Girigiri Dispensary,Nyabasi east Ward,Kuria East Sub County,Migori County,16665,6653,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
587,Getongoroma Health Centre,Nyabasi east Ward,Kuria East Sub County,Migori County,13570,10409,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
588,Nyametembe Dispensary,Ntimaru west Ward,Kuria East Sub County,Migori County,13910,6583,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
589,Ntimaru Sub County Hospital,Ntimaru west Ward,Kuria East Sub County,Migori County,13858,6608,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
590,Matare SDA Mission Dispensary,Ntimaru west Ward,Kuria East Sub County,Migori County,13788,6676,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
591,Makararangwe Dispensary,Ntimaru west Ward,Kuria East Sub County,Migori County,13758,6580,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
592,Gwitembe Health Centre,Ntimaru west Ward,Kuria East Sub County,Migori County,13597,13752,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
593,Gairoro Dispensary,Ntimaru west Ward,Kuria East Sub County,Migori County,13556,14029,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
594,Taragai Dispensary,Ntimaru east Ward,Kuria East Sub County,Migori County,14143,6998,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
595,Siabai/Makonge Dispensary,Ntimaru east Ward,Kuria East Sub County,Migori County,14079,6606,2018Q3,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
596,Precious Life Clinic,Ruai Ward,Kasarani  Sub County,Nairobi County,17996,7355,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
597,Mercy Mission Health Centre,Kabiro Ward,Dagoretti North Sub County,Nairobi County,13089,14808,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
598,Kibera South Health Centre,Lindi Ward,Kibra  Sub County,Nairobi County,13030,10316,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
599,Kabiro Medical Clinic,Kabiro Ward,Dagoretti North Sub County,Nairobi County,12995,14953,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
600,Jamii Yadah Medical Centre,Utawala Ward,Embakasi East Sub County,Nairobi County,19433,2812,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
601,Jamii  Medical Clinic Mukuru,Kwa njenga Ward,Embakasi South Sub County,Nairobi County,,4807,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
602,Edna Maternity,Eastleigh south Ward,Kamukunji  Sub County,Nairobi County,12934,6208,2018Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
603,Eagle Health Care Solution,Kangemi Ward,Westlands  Sub County,Nairobi County,21146,3420,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
604,Church Army Medical Clinic,Maringo/hamza Ward,Makadara  Sub County,Nairobi County,18795,14852,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
605,Child Doctor Kenya,Woodley/kenyatta golf course Ward,Kibra  Sub County,Nairobi County,19504,9837,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
606,Bridging out patient clinic,Kahawa West Ward,Roysambu  Sub County,Nairobi County,,2806,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
607,Blissgvs Health Care(Pipeline),Embakasi Ward,Embakasi East Sub County,Nairobi County,21050,12543,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
608,Blessed Medicare Centre,Kware Ward,Embakasi South Sub County,Nairobi County,21903,2061034,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
609,Biafra Medical Clinic,Eastleigh south Ward,Kamukunji  Sub County,Nairobi County,12884,9714,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
610,Better Living Hospital,Kilimani Ward,Dagoretti North Sub County,Nairobi County,,9318,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
611,Kayole I Health Centre,Kayole south Ward,Embakasi Central Sub County,Nairobi County,13015,17011,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
612,Baldo Ippolita Catholic Health Centre,Kware Ward,Embakasi South Sub County,Nairobi County,,13739,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
613,Andalus Medical Centre,Eastleigh north Ward,Kamukunji  Sub County,Nairobi County,18770,10073,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
614,Alice Nursing Home,Kware Ward,Embakasi South Sub County,Nairobi County,12869,9736,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
615,Neema Uhai Hospital,Babandogo Ward,Ruaraka  Sub County,Nairobi County,,1855,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
616,St Florence Medical Care Health Centre,Mountain view Ward,Westlands  Sub County,Nairobi County,13201,14794,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
617,Mafra Clinic,Kangemi Ward,Westlands  Sub County,Nairobi County,19512,9591,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
618,Focus Outreach Clinic,Kitisuru Ward,Westlands  Sub County,Nairobi County,19539,5931,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
619,Lower Kabete Dispensary (Kabete),Kitisuru Ward,Westlands  Sub County,Nairobi County,13052,7143,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
620,Sunbeam Medical Centre,Kangemi Ward,Westlands  Sub County,Nairobi County,18281,2675,2018Q3,"FPRH,WASH",AfyaJijini,289802
621,Mji Wa Huruma Dispensary,Karura Ward,Westlands  Sub County,Nairobi County,13093,7164,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
622,Columbia Africa Health Care Ltd,Parklands/highridge Ward,Westlands  Sub County,Nairobi County,22146,289951,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
623,Amurt Health Centre,Mountain view Ward,Westlands  Sub County,Nairobi County,12870,7122,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
624,Westlands Medical Centre,Parklands/highridge Ward,Westlands  Sub County,Nairobi County,19494,1445,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
625,Karura Health Centre (Kiambu Rd),Karura Ward,Westlands  Sub County,Nairobi County,13009,7096,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
626,Githogoro Runda Baptist Clinic,Karura Ward,Westlands  Sub County,Nairobi County,18887,7516,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
627,Westlands Health Centre,Parklands/highridge Ward,Westlands  Sub County,Nairobi County,13258,11461,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
628,St Joseph W Dispensary (Westlands),Mountain view Ward,Westlands  Sub County,Nairobi County,13209,2913,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
629,Kangemi Health Centre,Kangemi Ward,Westlands  Sub County,Nairobi County,13001,10788,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
630,South B Hospital LTD,Nairobi south Ward,Starehe  Sub County,Nairobi County,18005,7503,2018Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
631,Ngaira Rhodes Dispensary,Landimawe Ward,Starehe  Sub County,Nairobi County,13121,6963,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
632,Meridian Medical Centre (Nation House),Nairobi central Ward,Starehe  Sub County,Nairobi County,20104,2285,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
633,MOW Dispensary,Landimawe Ward,Starehe  Sub County,Nairobi County,13097,6961,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
634,Lad Nan Hospital,Pangani Ward,Starehe  Sub County,Nairobi County,19316,7055,2018Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
635,Lagos Road Dispensary,Nairobi central Ward,Starehe  Sub County,Nairobi County,13039,7006,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
636,Special Treatment Clinic,Nairobi central Ward,Starehe  Sub County,Nairobi County,13193,7041,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
637,South B Police Band Dispensary,Nairobi south Ward,Starehe  Sub County,Nairobi County,13144,6709,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
638,Kariokor Clinic,Kariokor Ward,Starehe  Sub County,Nairobi County,13007,7035,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
639,Access Afya Kenya Medical Clinic,Nairobi south Ward,Starehe  Sub County,Nairobi County,19467,12482,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
640,Pangani Clinic (City Council of Nairobi),Pangani Ward,Starehe  Sub County,Nairobi County,13138,7056,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
641,Loco Dispensary,Landimawe Ward,Starehe  Sub County,Nairobi County,13051,12589,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
642,Nairobi South Clinic,Nairobi south Ward,Starehe  Sub County,Nairobi County,13113,6771,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
643,Mary Immaculate Clinic Mukuru,Nairobi south Ward,Starehe  Sub County,Nairobi County,12982,6546,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
644,Radiant Pangani Hospital,Pangani Ward,Starehe  Sub County,Nairobi County,13158,7059,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
645,Ngara Health Centre (City Council of Nairobi),Ngara Ward,Starehe  Sub County,Nairobi County,13122,7031,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
646,Mariakani Cottage Hospital Ltd,Nairobi south Ward,Starehe  Sub County,Nairobi County,13064,6976,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
647,Lengo Medical Clinic,Landimawe Ward,Starehe  Sub County,Nairobi County,18590,6765,2018Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
648,Provide International Korogocho,Korogocho Ward,Ruaraka  Sub County,Nairobi County,13150,4210,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
649,Riruta Health Centre,Kawangware Ward,Dagoretti North Sub County,Nairobi County,13165,10129,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
650,Ngumba medical clinic,Babandogo Ward,Ruaraka  Sub County,Nairobi County,19236,7140,2018Q3,"FPRH,WASH",AfyaJijini,289802
651,Babadogo Health Centre,Babandogo Ward,Ruaraka  Sub County,Nairobi County,12876,3771,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
652,St Philips Health Centre,Utalii Ward,Ruaraka  Sub County,Nairobi County,13224,5066,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
653,Babadogo Medical Health Centre,Babandogo Ward,Ruaraka  Sub County,Nairobi County,12877,7163,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
654,Ruaraka Clinic,Babandogo Ward,Ruaraka  Sub County,Nairobi County,13172,7141,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
655,National Youth Service Hq Dispensary (Ruaraka),Utalii Ward,Ruaraka  Sub County,Nairobi County,13130,7109,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
656,Babadogo (EDARP),Babandogo Ward,Ruaraka  Sub County,Nairobi County,12875,7139,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
657,Uzima Dispensary,Utalii Ward,Ruaraka  Sub County,Nairobi County,13246,5836,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
658,Redemeed Health Centre,Babandogo Ward,Ruaraka  Sub County,Nairobi County,13160,7118,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
659,Mathare North Health Centre,Mathare north Ward,Ruaraka  Sub County,Nairobi County,13077,3066,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
660,Marura Nursing Home,Mathare north Ward,Ruaraka  Sub County,Nairobi County,13070,7119,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
661,Korogocho Health Centre,Korogocho Ward,Ruaraka  Sub County,Nairobi County,18895,4723,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
662,St Mary's Health Services,Githurai Ward,Roysambu  Sub County,Nairobi County,13217,7138,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
663,Round About Medical Dispensary,Githurai Ward,Roysambu  Sub County,Nairobi County,13167,7213,2018Q3,"FPRH,WASH",AfyaJijini,289802
664,Ogwedhi Dispensary (Nairobi North),Kahawa West Ward,Roysambu  Sub County,Nairobi County,13133,1263,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
665,Penda Medical Care,Kahawa West Ward,Roysambu  Sub County,Nairobi County,22946,2061076,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
666,St Joseph Mukasa Dispensary,Kahawa West Ward,Roysambu  Sub County,Nairobi County,13208,11206,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
667,Kenyatta University Dispensary,Kahawa Ward,Roysambu  Sub County,Nairobi County,13024,3065,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
668,Kamiti Prison Hospital,Kahawa West Ward,Roysambu  Sub County,Nairobi County,13000,7264,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
669,Pstc Health Centre,Kahawa Ward,Roysambu  Sub County,Nairobi County,13153,7020,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
670,St John Hospital,Githurai Ward,Roysambu  Sub County,Nairobi County,13205,7242,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
671,Marurui Dispensary,Roysambu Ward,Roysambu  Sub County,Nairobi County,13071,7215,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
672,Kahawa West Health Centre,Kahawa Ward,Roysambu  Sub County,Nairobi County,12997,11205,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
673,Wakibe Clinic,Ngei Ward,Mathare  Sub County,Nairobi County,13250,12890,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
674,Kayole Hospital,Kayole north Ward,Embakasi Central Sub County,Nairobi County,13014,16958,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
675,Upendo Dispensary,Hospital Ward,Mathare  Sub County,Nairobi County,13243,2225,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
676,Mathare 3A (EDARP),Mabatini Ward,Mathare  Sub County,Nairobi County,13075,7115,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
677,Mathari Hospital,Hospital Ward,Mathare  Sub County,Nairobi County,13076,3020,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
678,Huruma (Ncck) Dispensary,Kiamaiko Ward,Mathare  Sub County,Nairobi County,12972,7112,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
679,Shining Hope for Communities Mathare Medical Clinic,Hospital Ward,Mathare  Sub County,Nairobi County,,8886,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
680,Aski Medical Clinic,Kayole north Ward,Embakasi Central Sub County,Nairobi County,12873,16920,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
681,Huruma (EDARP),Huruma Ward,Mathare  Sub County,Nairobi County,12973,6959,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
682,Huruma Lions Dispensary,Ngei Ward,Mathare  Sub County,Nairobi County,12974,7074,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
683,Huruma Nursing Home and Maternity,Kiamaiko Ward,Mathare  Sub County,Nairobi County,12976,7113,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
684,Uzima White Medical Clinic,Ngei Ward,Mathare  Sub County,Nairobi County,21856,13425,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
685,Kaloleni Health Services,Makongeni Ward,Makadara  Sub County,Nairobi County,12999,14457,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
686,ofafa I Clinic,Maringo/hamza Ward,Makadara  Sub County,Nairobi County,13132,7486,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
687,Hono Clinic,Harambee Ward,Makadara  Sub County,Nairobi County,12969,7279,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
688,Buruburu Medical Clinic,Harambee Ward,Makadara  Sub County,Nairobi County,12888,12885,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
689,Maringo Clinic,Maringo/hamza Ward,Makadara  Sub County,Nairobi County,13069,7344,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
690,Coptic Medical Clinic,Viwandani Ward,Makadara  Sub County,Nairobi County,12904,14725,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
691,Mbotela Clinic,Makongeni Ward,Makadara  Sub County,Nairobi County,13081,7283,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
692,Jerusalem Clinic,Maringo/hamza Ward,Makadara  Sub County,Nairobi County,12989,4742,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
693,Makadara Mercy Sisters Dispensary,Maringo/hamza Ward,Makadara  Sub County,Nairobi County,13057,7365,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
694,Kaloleni Dispensary,Makongeni Ward,Makadara  Sub County,Nairobi County,12998,15046,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
695,Jericho Health Centre,Harambee Ward,Makadara  Sub County,Nairobi County,12988,7300,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
696,Lunga Lunga Health Centre,Viwandani Ward,Makadara  Sub County,Nairobi County,13053,15295,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
697,Olive Link Health Care,Viwandani Ward,Makadara  Sub County,Nairobi County,18797,14189,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
698,Metropolitan Hospital Nairobi,Harambee Ward,Makadara  Sub County,Nairobi County,13090,7462,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
699,Mary Immaculate Sisters Dispensary,Maringo/hamza Ward,Makadara  Sub County,Nairobi County,13072,7446,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
700,Pine Medical Clinic,Kayole north Ward,Embakasi Central Sub County,Nairobi County,13142,17078,2018Q3,"FPRH,WASH",AfyaJijini,289802
701,Makadara Health Centre,Maringo/hamza Ward,Makadara  Sub County,Nairobi County,13056,7514,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
702,Jamaa Mission Hospital,Harambee Ward,Makadara  Sub County,Nairobi County,12984,15904,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
703,Kings Cross Medical Clinic,Kayole central Ward,Embakasi Central Sub County,Nairobi County,19436,16964,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
704,Cana Family Life Clinic,Viwandani Ward,Makadara  Sub County,Nairobi County,12889,14948,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
705,Bahati Health Centre,Maringo/hamza Ward,Makadara  Sub County,Nairobi County,12879,15045,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
706,Family Care Medical Centre & Maternity,Nairobi west Ward,Langata  Sub County,Nairobi County,12942,8974,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
707,Meridian Equator Hospital,Nairobi west Ward,Langata  Sub County,Nairobi County,13109,10034,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
708,Langata Hospital,Mugumo-Ini Ward,Langata  Sub County,Nairobi County,13042,6628,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
709,Maria Dominica Dispensary,Karen Ward,Langata  Sub County,Nairobi County,13061,6584,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
710,Healthways Medical Centre,South C Ward,Langata  Sub County,Nairobi County,18278,6678,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
711,St Odilia's Dispensary,Karen Ward,Langata  Sub County,Nairobi County,13221,3036,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
712,EDARP Komarock Health Centre,Komarock Ward,Embakasi Central Sub County,Nairobi County,17719,17415,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
713,Langata Women Prison Dispensary,Mugumo-Ini Ward,Langata  Sub County,Nairobi County,13044,11437,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
714,Jinnah Ave Clinic,South C Ward,Langata  Sub County,Nairobi County,12990,6773,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
715,Karen Health Centre,Karen Ward,Langata  Sub County,Nairobi County,13003,6648,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
716,St Mary's Mission Hospital,Mugumo-Ini Ward,Langata  Sub County,Nairobi County,13218,12734,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
717,Langata Health Centre,Mugumo-Ini Ward,Langata  Sub County,Nairobi County,13041,6655,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
718,Nairobi South Hospital,South C Ward,Langata  Sub County,Nairobi County,13112,6696,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
719,Ushirika Medical Clinic,Sarang'ombe Ward,Kibra  Sub County,Nairobi County,13245,13093,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
720,Maria Maternity and Nursing Home,Kayole north Ward,Embakasi Central Sub County,Nairobi County,13063,4214,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
721,Mercillin Afya Centre,Lindi Ward,Kibra  Sub County,Nairobi County,13088,13092,2018Q3,"FPRH,WASH",AfyaJijini,289802
722,Revival Home Based Care Clinic,Sarang'ombe Ward,Kibra  Sub County,Nairobi County,16168,13113,2018Q3,"FPRH,WASH",AfyaJijini,289802
723,Melchezedek Hospital,Kileleshwa Ward,Dagoretti North Sub County,Nairobi County,13086,15343,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
724,Wema Medical Clinic,Sarang'ombe Ward,Kibra  Sub County,Nairobi County,17394,13105,2018Q3,"FPRH, WASH",AfyaJijini,289802
725,Makina Community Clinic,Makina Ward,Kibra  Sub County,Nairobi County,20624,13684,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
726,Makina Clinic,Makina Ward,Kibra  Sub County,Nairobi County,13058,13819,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
727,Mama Lucy Kibaki Hospital -Embakasi,Komarock Ward,Embakasi Central Sub County,Nairobi County,17411,17282,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
728,Chonesus Clinic,Lindi Ward,Kibra  Sub County,Nairobi County,19035,14216,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
729,Iran Medical Clinic,Ngara Ward,Starehe  Sub County,Nairobi County,,13492,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
730,Tabitha Medical Clinic,Sarang'ombe Ward,Kibra  Sub County,Nairobi County,13234,3039,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
731,Woodley Clinic,Woodley/kenyatta golf course Ward,Kibra  Sub County,Nairobi County,13259,9786,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
732,Ngong Road Health Centre,Woodley/kenyatta golf course Ward,Kibra  Sub County,Nairobi County,13123,6896,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
733,Saola Maternity and Nursing Home,Laini saba Ward,Kibra  Sub County,Nairobi County,13178,14024,2018Q3,"MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
